run;nb_cc;ethnie;proportion;proportion_correct_cau;proportion_correct_ch;
10;30;ch;30;0.946428571428571;0.958333333333333;
1;30;ch;40;1;1;
2;30;ch;40;0.964285714285714;1;
3;30;ch;40;1;0.918918918918919;
4;30;ch;40;0.964285714285714;0.972972972972973;
5;30;ch;40;1;0.945945945945945;
6;30;ch;40;0.964285714285714;0.972972972972973;
7;30;ch;40;0.982142857142857;0.891891891891891;
8;30;ch;40;0.964285714285714;0.972972972972973;
9;30;ch;40;0.982142857142857;0.972972972972973;
10;30;ch;40;0.982142857142857;0.945945945945945;
1;30;ch;50;0.982142857142857;1;
2;30;ch;50;0.964285714285714;1;
3;30;ch;50;0.982142857142857;0.982142857142857;
4;30;ch;50;0.928571428571428;1;
5;30;ch;50;0.982142857142857;1;
6;30;ch;50;0.964285714285714;0.982142857142857;
7;30;ch;50;0.964285714285714;1;
8;30;ch;50;0.982142857142857;0.982142857142857;
9;30;ch;50;0.982142857142857;0.982142857142857;
10;30;ch;50;0.928571428571428;0.964285714285714;
1;30;cau;40;0.972972972972973;0.946428571428571;
2;30;cau;40;0.891891891891891;0.982142857142857;
3;30;cau;40;0.972972972972973;0.910714285714285;
4;30;cau;40;0.864864864864864;0.875;
5;30;cau;40;0.918918918918919;1;
6;30;cau;40;0.81081081081081;0.910714285714285;
7;30;cau;40;0.972972972972973;0.982142857142857;
8;30;cau;40;0.945945945945945;0.875;
9;30;cau;40;0.864864864864864;0.910714285714285;
10;30;cau;40;0.945945945945945;0.946428571428571;
1;30;cau;30;0.875;0.982142857142857;
2;30;cau;30;0.916666666666666;0.839285714285714;
3;30;cau;30;0.833333333333333;0.928571428571428;
4;30;cau;30;1;0.892857142857142;
5;30;cau;30;0.916666666666666;0.910714285714285;
6;30;cau;30;0.875;0.803571428571428;
7;30;cau;30;0.916666666666666;0.892857142857142;
8;30;cau;30;0.833333333333333;0.946428571428571;
9;30;cau;30;0.916666666666666;0.982142857142857;
10;30;cau;30;0.916666666666666;0.910714285714285;
1;30;cau;20;0.785714285714285;0.892857142857142;
2;30;cau;20;0.928571428571428;0.946428571428571;
3;30;cau;20;0.857142857142857;0.946428571428571;
4;30;cau;20;0.642857142857142;0.785714285714285;
5;30;cau;20;1;0.678571428571428;
6;30;cau;20;0.857142857142857;0.732142857142857;
